64,4,Oak,Pine,Palm
16,24,0.6,18,0
2,20,0.4,8,1
10,14,0.3,6,2
20,30,0.8,20,0
3,28,0.7,9,1
11,13,0.5,7,2
2.8,25,0.8,8,1
2.7,26,0.7,6,1
11,14,0.6,8,2
21,30,0.9,19,0
19,27,0.8,18,0
2.7,22,0.6,5,1
12,15,0.5,7.7,2
18,27,0.7,18,0
15,19,0.6,12,0
2.9,26,0.9,9,1
2.2,17,0.3,4,1
9,10,0.25,6,2
10,13,0.4,7,2
12,14,0.5,8,2
17,20,0.8,13,0
18,25,0.8,15,0
2.4,20,0.5,6,1
10,13,0.4,7,2
2.5,25,0.6,5,1
16,23,0.8,15,0
2.8,27,0.7,9,1
12,15,0.5,7.8,2
17,22,0.9,14,0
11,14,0.5,8,2
10,12,0.35,6.8,2
2.3,17,0.5,6,1
18,25,0.8,10,0
2.8,26,0.8,8,1
9,11,0.4,6,2
12,13,0.45,6.9,2
2.5,22,0.7,6,1
2.6,21,0.7,5,1
11,12,0.25,7,2
18,24,0.8,12,0
2.7,24,0.5,7,1
2.6,23,0.7,5,1
11,13,0.5,7.2,2
10,11,0.4,7,2
12,14,0.6,8,2
19,27,0.8,19,0
2.5,20,0.6,4,1
2.8,26,0.9,8,1
9,10,0.3,6.4,2
15,18,0.6,10,0
19,24,0.7,12,0
9,10,0.2,6,2
2.6,25,0.8,7,1
9,10,0.2,6,2
2.9,27,0.8,8,1
2,16,0.3,4,1
10,12,0.4,6.7,2
21,31,1,21,0
2.7,27,0.8,7,1
3,28,0.8,9,1
18,24,0.8,16,0
12,15,0.6,8,2
2.4,22,0.7,5,1
20,30,0.8,18,0
